code,name,districtCode
346,Xã Hồng Hà,22
347,Xã Liên Hồng,22
348,Xã Liên Hà,22
349,Xã Hạ Mỗ,22
350,Xã Liên Trung,22
351,Xã Phương Đình,22
352,Xã Thượng Mỗ,22
353,Xã Tân Hội,22
354,Xã Tân Lập,22
355,Xã Đan Phượng,22
356,Xã Đồng Tháp,22
357,Xã Song Phượng,22
358,Thị trấn Trạm Trôi,23
359,Xã Đức Thượng,23
360,Xã Minh Khai,23
361,Xã Dương Liễu,23
362,Xã Di Trạch,23
363,Xã Đức Giang,23
364,Xã Cát Quế,23
365,Xã Kim Chung,23
366,Xã Yên Sở,23
367,Xã Sơn Đồng,23
368,Xã Vân Canh,23
369,Xã Đắc Sở,23
370,Xã Lại Yên,23
371,Xã Tiền Yên,23
372,Xã Song Phương,23
373,Xã An Khánh,23
374,Xã An Thượng,23
375,Xã Vân Côn,23
376,Xã La Phù,23
377,Xã Đông La,23
378,Xã Đông Xuân,24
379,Thị trấn Quốc Oai,24
380,Xã Sài Sơn,24
381,Xã Phượng Cách,24
382,Xã Yên Sơn,24
383,Xã Ngọc Liệp,24
384,Xã Ngọc Mỹ,24
385,Xã Liệp Tuyết,24
386,Xã Thạch Thán,24
387,Xã Đồng Quang,24
388,Xã Phú Cát,24
389,Xã Tuyết Nghĩa,24
390,Xã Nghĩa Hương,24
391,Xã Cộng Hòa,24
392,Xã Tân Phú,24
393,Xã Đại Thành,24
394,Xã Phú Mãn,24
395,Xã Cấn Hữu,24
396,Xã Tân Hòa,24
397,Xã Hòa Thạch,24
398,Xã Đông Yên,24
399,Xã Yên Trung,25
400,Xã Yên Bình,25
401,Xã Tiến Xuân,25
402,Thị trấn Liên Quan,25
403,Xã Đại Đồng,25
404,Xã Cẩm Yên,25
405,Xã Lại Thượng,25
406,Xã Phú Kim,25
407,Xã Hương Ngải,25
408,Xã Canh Nậu,25
409,Xã Kim Quan,25
410,Xã Dị Nậu,25
411,Xã Bình Yên,25
412,Xã Chàng Sơn,25
413,Xã Thạch Hòa,25
414,Xã Cần Kiệm,25
415,Xã Hữu Bằng,25
416,Xã Phùng Xá,25
417,Xã Tân Xã,25
418,Xã Thạch Xá,25
419,Xã Bình Phú,25
420,Xã Hạ Bằng,25
421,Xã Đồng Trúc,25
422,Thị trấn Chúc Sơn,26
423,Thị trấn Xuân Mai,26
424,Xã Phụng Châu,26
425,Xã Tiên Phương,26
426,Xã Đông Sơn,26
427,Xã Đông Phương Yên,26
428,Xã Phú Nghĩa,26
429,Xã Trường Yên,26
430,Xã Ngọc Hòa,26
431,Xã Thủy Xuân Tiên,26
432,Xã Thanh Bình,26
433,Xã Trung Hòa,26
434,Xã Đại Yên,26
435,Xã Thụy Hương,26
436,Xã Tốt Động,26
437,Xã Lam Điền,26
438,Xã Tân Tiến,26
439,Xã Nam Phương Tiến,26
440,Xã Hợp Đồng,26
441,Xã Hoàng Văn Thụ,26
442,Xã Hoàng Diệu,26
443,Xã Hữu Văn,26
444,Xã Quảng Bị,26
445,Xã Mỹ Lương,26
446,Xã Thượng Vực,26
447,Xã Hồng Phong,26
