code,name,provinceCode
168,Huyện Hiệp Hòa,28
169,Thành phố Việt Trì,29
170,Thị xã Phú Thọ,29
171,Huyện Đoan Hùng,29
172,Huyện Hạ Hoà,29
173,Huyện Thanh Ba,29
174,Huyện Phù Ninh,29
175,Huyện Yên Lập,29
176,Huyện Cẩm Khê,29
177,Huyện Tam Nông,29
178,Huyện Lâm Thao,29
179,Huyện Thanh Sơn,29
180,Huyện Thanh Thủy,29
181,Huyện Tân Sơn,29
182,Thành phố Vĩnh Yên,30
183,Thành phố Phúc Yên,30
184,Huyện Lập Thạch,30
185,Huyện Tam Dương,30
186,Huyện Tam Đảo,30
187,Huyện Bình Xuyên,30
188,Huyện Yên Lạc,30
189,Huyện Vĩnh Tường,30
190,Huyện Sông Lô,30
191,Thành phố Bắc Ninh,31
192,Huyện Yên Phong,31
193,Huyện Quế Võ,31
194,Huyện Tiên Du,31
195,Thị xã Từ Sơn,31
196,Huyện Thuận Thành,31
197,Huyện Gia Bình,31
198,Huyện Lương Tài,31
199,Thành phố Hải Dương,32
200,Thành phố Chí Linh,32
201,Huyện Nam Sách,32
202,Thị xã Kinh Môn,32
203,Huyện Kim Thành,32
204,Huyện Thanh Hà,32
205,Huyện Cẩm Giàng,32
206,Huyện Bình Giang,32
207,Huyện Gia Lộc,32
208,Huyện Tứ Kỳ,32
209,Huyện Ninh Giang,32
210,Huyện Thanh Miện,32
211,Quận Hồng Bàng,33
212,Quận Ngô Quyền,33
213,Quận Lê Chân,33
214,Quận Hải An,33
215,Quận Kiến An,33
216,Quận Đồ Sơn,33
217,Quận Dương Kinh,33
218,Huyện Thủy Nguyên,33
219,Huyện An Dương,33
220,Huyện An Lão,33
221,Huyện Kiến Thụy,33
222,Huyện Tiên Lãng,33
223,Huyện Vĩnh Bảo,33
224,Huyện Cát Hải,33
225,Huyện Bạch Long Vĩ,33
226,Thành phố Hưng Yên,34
227,Huyện Văn Lâm,34
228,Huyện Văn Giang,34
229,Huyện Yên Mỹ,34
230,Thị xã Mỹ Hào,34
231,Huyện Ân Thi,34
232,Huyện Khoái Châu,34
233,Huyện Kim Động,34
234,Huyện Tiên Lữ,34
235,Huyện Phù Cừ,34
236,Thành phố Thái Bình,35
237,Huyện Quỳnh Phụ,35
238,Huyện Hưng Hà,35
239,Huyện Đông Hưng,35
240,Huyện Thái Thụy,35
241,Huyện Tiền Hải,35
242,Huyện Kiến Xương,35
243,Huyện Vũ Thư,35
244,Thành phố Phủ Lý,36
245,Thị xã Duy Tiên,36
246,Huyện Kim Bảng,36
247,Huyện Thanh Liêm,36
248,Huyện Bình Lục,36
249,Huyện Lý Nhân,36
250,Thành phố Nam Định,37
251,Huyện Mỹ Lộc,37
252,Huyện Vụ Bản,37
253,Huyện Ý Yên,37
254,Huyện Nghĩa Hưng,37
255,Huyện Nam Trực,37
256,Huyện Trực Ninh,37
257,Huyện Xuân Trường,37
258,Huyện Giao Thủy,37
259,Huyện Hải Hậu,37
260,Thành phố Ninh Bình,38
261,Thành phố Tam Điệp,38
262,Huyện Nho Quan,38
263,Huyện Gia Viễn,38
264,Huyện Hoa Lư,38
265,Huyện Yên Khánh,38
266,Huyện Kim Sơn,38
267,Huyện Yên Mô,38
268,Thành phố Thanh Hóa,39
269,Thị xã Bỉm Sơn,39
270,Thành phố Sầm Sơn,39
271,Huyện Mường Lát,39
272,Huyện Quan Hóa,39
273,Huyện Bá Thước,39
274,Huyện Quan Sơn,39
275,Huyện Lang Chánh,39
276,Huyện Ngọc Lặc,39
277,Huyện Cẩm Thủy,39
278,Huyện Thạch Thành,39
279,Huyện Hà Trung,39
280,Huyện Vĩnh Lộc,39
281,Huyện Yên Định,39
282,Huyện Thọ Xuân,39
283,Huyện Thường Xuân,39
284,Huyện Triệu Sơn,39
